아버지 최종학교,어머니 최종학교,"주택 면적 (비단독주택, 평)",W02WAGE_EXP2
,,12.0,
,,35.0,
,,32.0,
,,11.0,
,,32.0,
,,24.0,
,,32.0,
,,18.0,
,,9090909.0,
,,28.0,
,,22.0,
,,14.0,
,,11.0,
,,8.0,
,,12.0,
,,30.0,
,,8.0,
,,10.0,
,,22.0,
,,8.0,
,,15.0,
,,9.0,
,,8.0,
,,40.0,
,,9090909.0,
,,,
,,24.0,
,,20.0,
,,14.0,
,,15.0,
,,9090909.0,
,,24.0,
,,24.0,
,,32.0,
,,32.0,
,,9090909.0,
,,9090909.0,
,,9090909.0,
,,9090909.0,
,,9090909.0,
,,9090909.0,
,,18.0,
,,24.0,
,,25.0,
,,24.0,
,,24.0,
,,36.0,
,,,
,,,
,,9090909.0,
,,9090909.0,
6.0,6.0,9090909.0,
,,20.0,
,6.0,34.0,
,6.0,30.0,
,,55.0,
,,9090909.0,
,,27.0,
,,9090909.0,
,,25.0,
,,9090909.0,
,,15.0,
,,9090909.0,
,,,
,6.0,9090909.0,
,,45.0,
,,33.0,
,,33.0,
,,33.0,
,,14.0,
9090908.0,,14.0,
,,14.0,
,,14.0,
,,14.0,
,,9090909.0,
,5.0,1.0,
,,48.0,
,,9090909.0,
,,9090909.0,
,,,
,,9090909.0,
,,32.0,
,,9090909.0,
,,9090909.0,
,6.0,9090909.0,
6.0,,6.0,
,,,
,,34.0,
,,25.0,
,,25.0,
,,32.0,
,,32.0,
,,9090909.0,
,,9090909.0,
,,9090909.0,
6.0,7.0,6.0,
,,9090909.0,
,,30.0,
,,9090909.0,
,,9090909.0,
,,25.0,
,,25.0,
,,25.0,
,,25.0,
,,25.0,
,,25.0,
,,30.0,
,,25.0,
,,7.0,
,,25.0,
,,25.0,
,,27.0,
,,,
,4.0,26.0,
,,,
,,,
,,30.0,
,,20.0,
,,30.0,
,,25.0,
,,15.0,
,,15.0,
,,25.0,
,,30.0,
,,30.0,
,,25.0,
,,15.0,
,,30.0,
,,40.0,
,,15.0,
,,25.0,
,,,
,,,
,,25.0,
,,30.0,
,,25.0,
,,25.0,
,,25.0,
,,27.0,
,,25.0,
,,27.0,
,,30.0,
,,26.0,
,,30.0,
,,30.0,
,,30.0,
,,28.0,
,,25.0,
,,30.0,
,,24.0,
,,9090909.0,
,,9090909.0,
,,18.0,
,,30.0,
,,30.0,
,,30.0,
,,30.0,
,,30.0,
,,28.0,
,,25.0,
,,55.0,
,,53.0,
,,56.0,
,,32.0,
,,32.0,
,,,
,,,
,,,
,,,
,,32.0,
,,31.0,
,,32.0,
,,31.0,
,,31.0,
,,31.0,
,,33.0,
,,33.0,
,,32.0,
,,34.0,
,,32.0,
,,32.0,
,,32.0,
,,32.0,
,,63.0,
,,63.0,
,,63.0,
,,,
,,,
,,22.0,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,9090909.0,
,,42.0,
,,43.0,
,,9090909.0,
,,,
,,18.0,
,,33.0,
,,34.0,
,,5.0,
,,5.0,
,,15.0,
6.0,6.0,9090909.0,
,,27.0,
6.0,,6.0,
,,40.0,
,6.0,34.0,
,,45.0,
,,,
,,23.0,
,,4.0,
,,,
,,4.0,
,,,
,,,
,,33.0,
,,33.0,
,,25.0,
6.0,6.0,25.0,
,,33.0,
,,33.0,
,,9090909.0,
,,9090909.0,
6.0,,9090909.0,
,,7.0,
,,34.0,
,,13.0,
,,13.0,
,,32.0,
,,,
,,22.0,
